Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
Dr. Sumanth Shetty,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",24,Koramangala,Bangalore,97,4311,300
Dr. Jnanesha H.C,Dentist,"BDS, MDS - Orthodontics",21,Jayanagar 4 Block,Bangalore,98,260,300
Dr. J Samuel Santosh,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",17,Whitefield,Bangalore,94,71,300
Dr. M J Murali,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",26,Indiranagar,Bangalore,99,148,300
Dr. Ganesh Shetty,Dentist,"BDS, MICOI (USA)",25,Kalyan Nagar,Bangalore,98,3788,500
Dr. Sindhu S Kumar,Dentist,BDS,14,Jayanagar 4 Block,Bangalore,100,14,300
Dr. K.A. Mohan,Dentist,"BDS, MDS - Orthodontics",54,Domlur,Bangalore,100,20,500
Dr. Anuradha Navaneetham,Dentist,"BDS, MDS - Oral Surgery, Fellowship and Diplomate in Implantology from ICOI (USA)",38,Richmond Town,Bangalore,94,309,500
Dr. Akshai Shetty,Dentist,"BDS, MDS - Orthodontics",26,HSR Layout,Bangalore,97,526,500
Dr. Shobith R Shetty,Dentist,"BDS, MDS- Oral Pathology",17,Indiranagar,Bangalore,97,525,400
Dr. Vivekananda Reddy,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS",22,Hoodi,Bangalore,100,107,500
Dr. Baswaraj Biradar,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",26,Sahakaranagar,Bangalore,99,2132,400
Dr. Sunil Rao,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",27,Vijayanagar,Bangalore,98,375,500
Dr. Pramod,Dentist,"MDS - Orthodontics, BDS",19,Koramangala,Bangalore,98,701,500
Dr. Prafulla Biradar,Dentist,"BDS, MDS - Periodontology and Oral Implantology",22,Sahakaranagar,Bangalore,99,423,400
Dr. K. Prapanna Arya,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",19,Domlur,Bangalore,99,423,500
Dr. Mini Naik,Dentist,BDS,31,HSR Layout,Bangalore,100,23,500
